en	th	kind	note
BRENDAN	ยูกิ	characters	ผู้เล่น/คู่แข่งชาย ลูกศาสตราจารย์โอดามากิ | เป็นกันเอง ผม/เรา ลงท้าย นะ/ล่ะ ไม่ใช้ครับกับเพื่อน
MAY	ฮารุกะ	characters	ผู้เล่น/คู่แข่งหญิง ลูกศาสตราจารย์โอดามากิ | ร่าเริง ฉัน/เรา ลงท้าย นะ/จ้ะ/ล่ะ
PROF. BIRCH	ศาสตราจารย์โอดามากิ	characters	ใจดี ติดตลก ฉัน เรียกผู้เล่น เธอ/{PLAYER}
BIRCH	โอดามากิ	characters	
MOM	แม่	characters	แม่เรียกตัวเอง แม่ เรียกผู้เล่น ลูก ลงท้าย นะ/จ้ะ
DAD	พ่อ	characters	
NORMAN	เซ็นริ	characters	หัวหน้ายิมโทกะ พ่อของผู้เล่น | สุขุม เข้มงวดแต่รักลูก พ่อ/ลูก กับผู้เล่น, ผม กับคนอื่น
WALLY	มิตสึรุ	characters	เด็กชายขี้อาย สุภาพ ผม ลงท้าย ครับ
STEVEN	ไดโกะ	characters	ลูกชายประธานเดวอน แชมเปี้ยนคนก่อน | สุภาพ สุขุม ผม ลงท้าย ครับ
MR. STONE	ประธานสึวาบุกิ	characters	ผู้ใหญ่ใจดี ผม ลงท้าย ครับ/นะ
ROXANNE	สึสึจิ	characters	หัวหน้ายิมคานาซุมิ นักเรียนเก่ง | สุภาพ เรียบร้อย ดิฉัน ลงท้าย ค่ะ/คะ
BRAWLY	โทคิ	characters	หัวหน้ายิมมุโระ นักโต้คลื่น | ห้าว ชิล ๆ ผม/เรา ลงท้าย นะ/เว้ย
WATTSON	เท็สเซ็น	characters	หัวหน้ายิมคินเซ็ตสึ ชายแก่อารมณ์ดี หัวเราะ วาฮ่าฮ่า | ข้า ลงท้าย นะ/ล่ะ
FLANNERY	อาสึนะ	characters	หัวหน้ายิมฟุเอ็น ใจร้อน พยายามทำตัวเท่ | ฉัน ลงท้าย นะ/ล่ะ/เลย
WINONA	นางิ	characters	หัวหน้ายิมฮิวามากิ สง่างาม | ดิฉัน ลงท้าย ค่ะ/คะ
TATE	ฟู	characters	หัวหน้ายิมโทคุซาเนะ ฝาแฝดชาย | เด็ก เรา ลงท้าย นะ
LIZA	รัน	characters	หัวหน้ายิมโทคุซาเนะ ฝาแฝดหญิง | เด็ก เรา ลงท้าย นะ
JUAN	อาดัน	characters	หัวหน้ายิมรุเนะ หรูหรา ศิลปิน | ผม ลงท้าย ครับ ภาษาสวยหรู
WALLACE	มิคุริ	characters	แชมเปี้ยนโฮเอ็น (Emerald) | สง่างาม ผม ลงท้าย ครับ
SIDNEY	คาเงตสึ	characters	จตุรเทพ ความมืด นักเลง | ข้า/ฉัน ห้าว ลงท้าย เว้ย/ว่ะ(เลี่ยง)
PHOEBE	ฟุโย	characters	จตุรเทพ ผี สาวร่าเริง | ฉัน ลงท้าย นะ/จ้ะ
GLACIA	พริม	characters	จตุรเทพ น้ำแข็ง สุภาพเย็นชา | ดิฉัน ลงท้าย ค่ะ
DRAKE	เก็นจิ	characters	จตุรเทพ มังกร ชายชรานักเดินเรือ | ข้า ลงท้าย นะ
MAXIE	มัตสึบุสะ	characters	หัวหน้าแก๊งแม็กม่า เย็นชา | ฉัน ภาษาแข็ง ไม่มีคำลงท้ายสุภาพ
ARCHIE	อาโอกิริ	characters	หัวหน้าแก๊งอควา ห้าวแบบโจรสลัด | ข้า ลงท้าย เว้ย/ล่ะ
TABITHA	โฮมุระ	characters	ผู้บริหารแก๊งแม็กม่า ชาย | ฉัน หัวเราะ ฮึฮึฮึ
COURTNEY	คางาริ	characters	ผู้บริหารแก๊งแม็กม่า หญิง | ฉัน พูดสั้น เย็นชา
